filename,width,height,class,xmin,ymin,xmax,ymax
raccoon-1.jpg,650,417,raccoon,81,88,522,408
raccoon-10.jpg,450,495,raccoon,130,2,446,488
raccoon-100.jpg,960,576,raccoon,548,10,954,520
raccoon-101.jpg,640,426,raccoon,86,53,400,356
raccoon-102.jpg,259,194,raccoon,1,1,118,152
raccoon-103.jpg,480,640,raccoon,92,54,460,545
raccoon-104.jpg,600,304,raccoon,189,41,340,249
raccoon-105.jpg,720,960,raccoon,250,49,714,869
raccoon-106.jpg,269,187,raccoon,31,21,226,146
raccoon-107.jpg,500,622,raccoon,165,51,496,590
raccoon-108.jpg,604,481,raccoon,99,53,402,464
raccoon-109.jpg,192,259,raccoon,9,1,177,252
raccoon-11.jpg,660,432,raccoon,3,1,461,431
raccoon-110.jpg,184,274,raccoon,23,2,166,262
raccoon-111.jpg,768,960,raccoon,41,5,683,917
raccoon-112.jpg,800,574,raccoon,131,174,775,563
raccoon-113.jpg,640,480,raccoon,1,1,384,436
raccoon-114.jpg,625,418,raccoon,242,35,523,264
raccoon-115.jpg,426,640,raccoon,51,130,351,556
raccoon-116.jpg,660,432,raccoon,3,1,436,430
raccoon-117.jpg,640,448,raccoon,100,124,266,324
raccoon-117.jpg,640,448,raccoon,342,101,570,297
raccoon-118.jpg,448,297,raccoon,109,31,307,297
raccoon-119.jpg,400,533,raccoon,16,62,362,353
raccoon-119.jpg,400,533,raccoon,211,359,277,402
raccoon-119.jpg,400,533,raccoon,198,392,280,473
raccoon-12.jpg,259,194,raccoon,28,21,126,181
raccoon-12.jpg,259,194,raccoon,85,33,235,193
raccoon-120.jpg,660,371,raccoon,129,12,510,331
raccoon-121.jpg,600,399,raccoon,55,34,416,377
raccoon-122.jpg,178,283,raccoon,7,7,174,198
raccoon-123.jpg,640,406,raccoon,280,42,550,392
raccoon-124.jpg,259,194,raccoon,17,39,239,147
raccoon-125.jpg,259,195,raccoon,13,6,252,190
raccoon-126.jpg,255,197,raccoon,5,5,246,192
raccoon-127.jpg,253,199,raccoon,125,59,212,165
raccoon-128.jpg,259,194,raccoon,76,87,190,148
raccoon-129.jpg,639,315,raccoon,142,24,442,276
raccoon-13.jpg,660,495,raccoon,55,28,393,313
raccoon-130.jpg,640,426,raccoon,223,62,497,307
raccoon-130.jpg,640,426,raccoon,453,41,640,423
raccoon-131.jpg,259,194,raccoon,1,1,199,184
raccoon-132.jpg,259,194,raccoon,6,2,240,131
raccoon-133.jpg,490,640,raccoon,8,6,476,631
raccoon-134.jpg,225,225,raccoon,125,87,194,169
raccoon-135.jpg,640,426,raccoon,99,8,605,404
raccoon-136.jpg,256,197,raccoon,51,24,198,192
raccoon-137.jpg,320,240,raccoon,71,8,304,233
raccoon-138.jpg,259,194,raccoon,56,54,226,150
raccoon-139.jpg,259,194,raccoon,20,6,177,167
raccoon-14.jpg,900,484,raccoon,163,81,546,438
raccoon-140.jpg,204,247,raccoon,6,17,202,231
raccoon-141.jpg,249,202,raccoon,1,1,154,176
raccoon-142.jpg,1024,768,raccoon,171,162,811,740
raccoon-143.jpg,259,194,raccoon,17,29,238,162
raccoon-144.jpg,570,390,raccoon,117,42,387,390
raccoon-145.jpg,600,450,raccoon,3,36,345,450
raccoon-145.jpg,600,450,raccoon,260,41,569,449
raccoon-146.jpg,275,183,raccoon,4,4,271,180
raccoon-147.jpg,426,640,raccoon,13,1,426,486
raccoon-148.jpg,500,375,raccoon,32,177,174,316
raccoon-148.jpg,500,375,raccoon,309,172,428,315
raccoon-149.jpg,500,375,raccoon,132,50,305,246
raccoon-15.jpg,640,360,raccoon,313,61,614,360
raccoon-150.jpg,275,183,raccoon,80,62,187,169
raccoon-151.jpg,225,225,raccoon,42,94,108,224
raccoon-152.jpg,275,183,raccoon,41,60,223,155
raccoon-153.jpg,700,700,raccoon,10,1,612,700
raccoon-154.jpg,650,419,raccoon,148,56,517,346
raccoon-155.jpg,259,194,raccoon,46,91,143,169
raccoon-156.jpg,201,251,raccoon,27,27,139,243
raccoon-157.jpg,220,229,raccoon,1,1,144,209
raccoon-158.jpg,275,183,raccoon,23,23,262,177
raccoon-159.jpg,226,223,raccoon,14,11,223,221
